,ID,Nama,DeskripsiObat
0,220,Amlodipin 10 mg,Obat antihipertensi golongan calcium channel blocker untuk menurunkan tekanan darah tinggi dan mengobati angina
1,221,Meloxicam 15 mg,Obat antiinflamasi nonsteroid (NSAID) untuk mengurangi nyeri dan peradangan pada artritis
2,222,Simvastatin 20 mg,Obat penurun kolesterol golongan statin untuk menurunkan kadar kolesterol LDL dan trigliserida
3,223,Captopril 25 mg,Obat antihipertensi golongan ACE inhibitor untuk menurunkan tekanan darah tinggi
4,224,Hydrochlorothiazide 25 mg,Obat diuretik untuk menurunkan tekanan darah dan mengurangi retensi cairan
5,226,Diclofenac Sodium 50 mg,Obat antiinflamasi nonsteroid (NSAID) untuk mengurangi nyeri dan peradangan
6,227,Dimenhydrinate 50 mg,Obat antihistamin untuk mencegah dan mengobati mual muntah serta motion sickness
7,228,Clopidogrel 75 mg,Obat antiplatelet untuk mencegah penggumpalan darah dan mengurangi risiko stroke
8,229,Acyclovir 400 mg,Obat antiviral untuk mengobati infeksi virus herpes simpleks dan varicella zoster
9,230,Azitromycin 500 mg,Antibiotik golongan makrolida untuk mengobati infeksi bakteri saluran pernapasan
10,231,Pyrazinamid 500 mg,Obat antituberkulosis untuk mengobati tuberkulosis (TB) dalam kombinasi dengan obat lain
11,232,"Captopril 12,5 mg",Obat antihipertensi golongan ACE inhibitor dosis rendah untuk menurunkan tekanan darah
12,233,"Meloxicam 7,5 mg",Obat antiinflamasi nonsteroid (NSAID) dosis rendah untuk mengurangi nyeri dan peradangan
13,234,Amoxicillin 500 mg,Antibiotik golongan penicillin untuk mengobati infeksi bakteri pada saluran pernapasan dan kemih
14,235,Vitamin B6,Suplemen vitamin untuk mencegah dan mengobati defisiensi vitamin B6
15,236,Antasida,Obat untuk menetralkan asam lambung dan mengurangi gejala maag
16,237,Cotrimoxazol 480 mg,Antibiotik kombinasi untuk mengobati infeksi saluran kemih dan pneumonia
17,238,Glyceryl Guaiacolate (GG),Obat ekspektoran untuk mengencerkan dahak dan meredakan batuk berdahak
18,239,Ponconeuron,Suplemen neurotropik untuk kesehatan saraf dan mengatasi neuropati
19,240,Ketoconazole krim,Obat antijamur topikal untuk mengobati infeksi jamur pada kulit
20,241,Acyclovir krim,Obat antiviral topikal untuk mengobati herpes simpleks pada kulit
21,242,Betason-N krim,Obat kombinasi kortikosteroid dan antibiotik untuk mengobati peradangan kulit dengan infeksi
22,243,Miconazole krim,Obat antijamur topikal untuk mengobati infeksi jamur kulit seperti kandidiasis
23,244,Gentamicin salep,Antibiotik topikal untuk mengobati infeksi bakteri pada kulit
24,245,Betamethasone Valerate krim,Obat kortikosteroid topikal untuk mengobati peradangan dan gatal pada kulit
25,246,Salicyl talk,Obat topikal untuk mengobati kondisi kulit seperti psoriasis dan dermatitis
26,247,Kloderma krim,Obat topikal untuk mengobati kondisi kulit dan peradangan
27,248,Bedak Salicyl,Obat topikal dalam bentuk bedak untuk mengobati kondisi kulit
28,249,Ambeven,Obat untuk mengobati wasir (hemoroid) dan mengurangi gejala terkait
29,250,Cefadroxil 500 mg,Antibiotik golongan sefalosporin untuk mengobati infeksi bakteri saluran pernapasan dan kulit
30,251,Glucosamine 500 mg,Suplemen untuk kesehatan sendi dan mengurangi nyeri pada osteoartritis
31,252,Betadine gargle,Antiseptik untuk berkumur dan mengobati infeksi mulut dan tenggorokan
32,253,Alletrol tetes mata,Obat tetes mata untuk mengobati alergi mata dan konjungtivitis
33,254,Erlamycetin plus tetes mata,Obat tetes mata antibiotik untuk mengobati infeksi mata
34,255,Caviplex,Suplemen multivitamin untuk memenuhi kebutuhan vitamin dan mineral
35,256,Salep 2-4,Obat topikal untuk mengobati kondisi kulit
36,257,Ichtyol salep,Obat topikal untuk mengobati jerawat dan kondisi kulit bernanah
37,258,Gom,Obat untuk mengobati gangguan pencernaan
38,259,Neuralgin,Obat untuk mengurangi nyeri saraf dan neuralgia
39,260,Zink dispersibel 20 mg,Suplemen zinc untuk meningkatkan daya tahan tubuh dan penyembuhan luka
40,261,Bronsolvan,Obat untuk mengobati batuk dan mengencerkan dahak
41,262,Kalnex (Asam Tranexamat) 250 mg,Obat untuk menghentikan perdarahan dan mengobati perdarahan berlebihan
42,263,"Kalmethason 0,5 mg",Obat kortikosteroid untuk mengobati peradangan dan reaksi alergi
43,264,Zegavit,Suplemen multivitamin untuk memenuhi kebutuhan vitamin
44,265,Bioplacenton,Obat untuk mempercepat penyembuhan luka dan regenerasi jaringan
45,266,"Gentamicin 0,3% salep mata",Antibiotik tetes mata untuk mengobati infeksi mata
46,267,Eyefresh tetes mata,Obat tetes mata untuk mengatasi mata kering dan iritasi
47,268,Vitamin C 250 mg,Suplemen vitamin C untuk meningkatkan daya tahan tubuh
48,269,Hydrocortisone krim,Obat kortikosteroid topikal untuk mengobati peradangan kulit ringan
49,270,Oralit,Larutan rehidrasi oral untuk mengatasi dehidrasi akibat diare
50,272,Tera F,Suplemen untuk kesehatan
51,273,Asam mefenamat 500 mg,Obat antiinflamasi nonsteroid (NSAID) untuk mengurangi nyeri dan demam
52,274,Thrombophob gel,Obat topikal untuk mengobati tromboflebitis dan varises
53,275,Sangobion,Suplemen penambah darah untuk mengobati anemia defisiensi besi
54,276,"Concor 2,5 mg",Obat antihipertensi golongan beta blocker untuk menurunkan tekanan darah
55,277,Zensoderm salep,Obat topikal untuk mengobati kondisi kulit
56,278,Dextral,Obat untuk mengobati gangguan sirkulasi darah
57,279,Alpara,Obat untuk mengobati gangguan pencernaan
58,280,Flucadex,Obat antijamur untuk mengobati infeksi jamur sistemik
59,281,Grafalin 2 mg,Obat untuk mengobati gangguan mental dan psikosis
60,282,Grafalin 4 mg,Obat untuk mengobati gangguan mental dan psikosis dosis tinggi
61,283,Vosea,Obat untuk mengobati mual dan muntah
62,284,Grafazol 500 mg,Obat antibiotik untuk mengobati infeksi bakteri
63,285,Flutamol,Obat untuk mengobati demam dan nyeri
64,286,Dexteem plus,Obat untuk mengobati batuk dan flu
65,287,Hufadextamine,Obat untuk mengobati alergi dan antihistamin
66,288,Hufagrip BP sirup,Obat sirup untuk mengobati batuk dan pilek
67,289,Hufagesic 120 mg/5ml sirup,Obat sirup pereda nyeri dan demam untuk anak
68,290,Hufadon sirup,Obat sirup untuk mengobati mual dan muntah
69,291,Hufanoxil Forte 250 mg/ 5 ml sirup,Antibiotik sirup untuk mengobati infeksi bakteri pada anak
70,292,Hufamag sirup,Obat sirup untuk mengobati gangguan pencernaan
71,293,H-Booster,Suplemen untuk meningkatkan daya tahan tubuh
72,294,Hufadon 10 mg,Obat untuk mengobati mual dan muntah
73,295,Hufamag plus,Obat untuk mengobati gangguan pencernaan dan maag
74,296,Dohixat (Doxicycline) 100 mg,Antibiotik golongan tetrasiklin untuk mengobati infeksi bakteri
75,297,Fasiprim (cotrimoxazole) sirup,Antibiotik sirup untuk mengobati infeksi saluran kemih pada anak
76,298,Yusimox 125 mg/ 5 ml sirup,Antibiotik sirup untuk mengobati infeksi bakteri pada anak
77,299,Diastrix (Loperamide),Obat untuk mengobati diare akut dan kronis
78,300,Histigo (Betahistine) 6 mg,Obat untuk mengobati vertigo dan gangguan keseimbangan
79,301,Estalex,Obat untuk mengobati gangguan mental dan kecemasan
80,302,Farsifen 200 mg,Obat antiinflamasi nonsteroid (NSAID) untuk mengurangi nyeri
81,303,Farsifen 400 mg,Obat antiinflamasi nonsteroid (NSAID) dosis tinggi untuk mengurangi nyeri
82,304,Dionicol (Thiamphenicol) 500 mg,Antibiotik untuk mengobati infeksi bakteri saluran pernapasan
83,305,Glikos 850 mg,Obat antidiabetes untuk mengontrol gula darah
84,306,Loperamide HCl 2 mg,Obat untuk mengobati diare akut
85,307,Antalgin 500 mg,Obat analgesik untuk mengurangi nyeri dan demam
86,308,Alleron 4 mg,Obat antihistamin untuk mengobati alergi
87,309,Vitamin C 25 mg,Suplemen vitamin C dosis rendah untuk anak
88,310,Allopurinol 100 mg,Obat untuk mengobati asam urat (gout) dan mencegah batu ginjal
89,311,Clindamycin 300 mg,Antibiotik untuk mengobati infeksi bakteri anaerob
90,312,Methylprednisolon 4 mg,Obat kortikosteroid untuk mengobati peradangan dan reaksi alergi
91,313,Ketoconazole 200 mg,Obat antijamur oral untuk mengobati infeksi jamur sistemik
92,314,"Ramipril 2,5 mg",Obat antihipertensi golongan ACE inhibitor untuk menurunkan tekanan darah
93,315,Ondansentron 4 mg,Obat untuk mencegah dan mengobati mual muntah
94,316,Ondansentron 8 mg,Obat untuk mencegah dan mengobati mual muntah dosis tinggi
95,317,Isosorbide dinitrate 5 mg,Obat untuk mengobati angina dan gagal jantung
96,318,Lacto b,Probiotik untuk menjaga kesehatan saluran pencernaan
97,319,Bisoprolol 5 mg,Obat antihipertensi golongan beta blocker untuk menurunkan tekanan darah
98,320,Candesartan 8 mg,Obat antihipertensi golongan ARB untuk menurunkan tekanan darah
99,321,Candesartan 16 mg,Obat antihipertensi golongan ARB dosis tinggi untuk menurunkan tekanan darah
101,323,Lansoprazole,Obat untuk mengobati tukak lambung dan GERD
103,326,Furosemid 40 mg,Obat diuretik untuk mengobati edema dan gagal jantung
104,327,Ethambutol 500 mg,Obat antituberkulosis untuk mengobati tuberkulosis
105,328,Bronex (Bromhexine) 8 mg,Obat ekspektoran untuk mengencerkan dahak
106,329,Cefixime 100 mg,Antibiotik golongan sefalosporin untuk mengobati infeksi bakteri
107,330,Fenofibrate,Obat untuk menurunkan kadar kolesterol dan trigliserida
108,331,Atorvastatin 10 mg,Obat penurun kolesterol golongan statin
109,332,Loratadine 10 mg,Obat antihistamin untuk mengobati alergi
110,333,Atorvastatin 20 mg,Obat penurun kolesterol golongan statin dosis tinggi
111,334,Kalium Diklofenak 50 mg,Obat antiinflamasi nonsteroid (NSAID) untuk mengurangi nyeri dan peradangan
112,335,Ranitidin 150 mg,Obat untuk mengobati tukak lambung dan mengurangi produksi asam lambung
113,336,Allopurinol 300 mg,Obat untuk mengobati asam urat (gout) dosis tinggi
114,337,Ciprofloxacin 500 mg,Antibiotik golongan fluorokuinolon untuk mengobati infeksi bakteri
115,338,Metformin 500 mg,Obat antidiabetes untuk mengontrol gula darah pada diabetes tipe 2
116,339,Fasgo 500 mg,Obat untuk mengobati gangguan pencernaan
117,340,Omeprazole 20 mg,Obat untuk mengobati tukak lambung dan GERD
118,341,Ambroxol 30 mg,Obat ekspektoran untuk mengencerkan dahak
119,342,Levofloxacin 500 mg,Antibiotik golongan fluorokuinolon untuk mengobati infeksi bakteri
120,343,Cataflam 50 mg,Obat antiinflamasi nonsteroid (NSAID) untuk mengurangi nyeri akut
121,345,Xepazym,Obat enzim pencernaan untuk membantu pencernaan makanan
122,346,OBH,Obat batuk untuk meredakan batuk kering
123,347,Curcuma,Suplemen herbal untuk kesehatan hati dan pencernaan
124,349,Aspilet 100 mg,Obat antiplatelet untuk mencegah penggumpalan darah
125,350,Strocain,Obat anestesi lokal untuk mengurangi nyeri
126,351,Licokalk,Suplemen kalsium untuk kesehatan tulang
127,352,Sumagesic (paracetamol) 600 mg,Obat analgesik untuk mengurangi nyeri dan demam
128,353,Rifabiotic 600 mg,Antibiotik untuk mengobati infeksi bakteri
129,354,Cefadroxil sirup,Antibiotik sirup untuk mengobati infeksi bakteri pada anak
130,355,Microlax,Obat pencahar untuk mengobati konstipasi
131,356,Nusaplex,Suplemen multivitamin untuk memenuhi kebutuhan vitamin
132,357,Ardium,Obat untuk mengobati gangguan sirkulasi darah
133,358,New diatab,Obat untuk mengobati diare
